"Channel Type","Frequency [MHz]","Tx transmitter power [W]","Call sign","Latitude (WGS84)","Longitude (WGS84)","Licensee name"
"TX_RES",0.56,400,"CBDN",64.05583333,-139.41361111,"CBC/ Radio-Canada"
"TX_RES",0.56,1000,"CFOS",44.54444444,-80.90194444,"Bayshore Broadcasting Corporation"
"TX_RES",0.56,7500,"CFOS",44.54444444,-80.90194444,"Bayshore Broadcasting Corporation"
"TX_RES",0.56,7500,"CFOS",44.54444444,-80.90194444,"Bayshore Broadcasting Corporation"
"TX_RES",0.56,400,"CBDN",64.05583333,-139.41361111,"CBC/ Radio-Canada"
"TX_RES",0.56,400,"CBDN",64.05583333,-139.41361111,"CBC/ Radio-Canada"
"TX_RES",0.57,10000,"CKSW",50.16083333,-107.81694444,"Golden West Broadcasting Ltd."
"TX_RES",0.57,10000,"CFCB-AX1",48.93694444,-57.99111111,"Stingray Radio Inc"
"TX_RES",0.57,1000,"CFCB-AX1",48.93694444,-57.99111111,"Stingray Radio Inc"
"TX_RES",0.57,1000,"CFCB",48.93694444,-57.99111111,"Stingray Radio Inc"
"TX_RES",0.57,10000,"CFCB",48.93694444,-57.99111111,"Stingray Radio Inc"
"TX_RES",0.57,1000,"CKWL",52.09138889,-122.17555556,"Vista Radio Ltd"
"TX_RES",0.57,1000,"CKWL",52.09138889,-122.17555556,"Vista Radio Ltd"
"TX_RES",0.57,1000,"CKWL",52.09138889,-122.17555556,"Vista Radio Ltd"
"TX_RES",0.57,10000,"CKGL",43.29027778,-80.3525,"Rogers Media Inc"
"TX_RES",0.57,10000,"CKGL",43.29027778,-80.3525,"Rogers Media Inc"
"TX_RES",0.57,10000,"CKGL",43.29027778,-80.3525,"Rogers Media Inc"
"TX_RES",0.57,250,"CKSW-AX1",50.16083333,-107.81694444,"Golden West Broadcasting Ltd."
"TX_RES",0.57,250,"CKSW-AX1",50.16083333,-107.81694444,"Golden West Broadcasting Ltd."
"TX_RES",0.57,10000,"CKSW",50.16083333,-107.81694444,"Golden West Broadcasting Ltd."
